Wavelength_nm,UV_photoreceptor,G_photoreceptor,R_photoreceptor
300,0.235279074,0.028987107,0.013082881
301,0.233928822,0.031692087,0.011646925
302,0.23375927,0.034543593,0.010014133
303,0.232239351,0.037089599,0.00820456
304,0.233980956,0.040417014,0.006499254
305,0.234701449,0.043378938,0.00516812
306,0.235292638,0.0456049,0.004474666
307,0.236120506,0.047574399,0.004116238
308,0.239653715,0.050268987,0.003668059
309,0.243567371,0.052808851,0.003277555
310,0.247278603,0.054587592,0.003224518
311,0.252608792,0.05705734,0.003167676
312,0.25834845,0.059471127,0.003285644
313,0.262513776,0.060886742,0.003449516
314,0.267722275,0.06245103,0.003547498
315,0.273740462,0.064675771,0.004039221
316,0.280018073,0.066921454,0.004569763
317,0.285639944,0.068436299,0.005034372
318,0.291307538,0.069933938,0.005634363
319,0.298316677,0.072267511,0.00664486
320,0.306104495,0.074773999,0.008016535
321,0.311978081,0.076253755,0.009051961
322,0.318037056,0.077754238,0.010198118
323,0.325530019,0.080123649,0.012313826
324,0.333331902,0.082523121,0.015254084
325,0.340886123,0.084292187,0.01788469
326,0.349245367,0.086741003,0.023100589
327,0.358576238,0.089380546,0.030013858
328,0.367074127,0.091237376,0.035875014
329,0.375035866,0.092904491,0.042446845
330,0.384422612,0.095363263,0.053598457
331,0.394935199,0.098025166,0.066097559
332,0.403539166,0.099642041,0.074729246
333,0.41276323,0.101339457,0.084045297
334,0.424498208,0.104038985,0.099095757
335,0.435708588,0.106511392,0.114169636
336,0.44672178,0.1083845,0.123928266
337,0.457648807,0.110138825,0.133306897
338,0.469894468,0.112548935,0.145747607
339,0.483292904,0.115120666,0.156466599
340,0.495227585,0.11683304,0.162141201
341,0.509408588,0.119348931,0.168155212
342,0.523323455,0.121680138,0.172636444
343,0.536715544,0.123425954,0.17482549
344,0.550478852,0.125165227,0.176845936
345,0.566270446,0.127561125,0.177630951
346,0.58276339,0.129995747,0.17717852
347,0.596082527,0.131335879,0.175747914
348,0.609454423,0.132612127,0.17366753
349,0.625037626,0.134503167,0.170167717
350,0.641076147,0.136378237,0.164986302
351,0.655834238,0.137697378,0.161634364
352,0.671087044,0.139055184,0.157634966
353,0.688684362,0.140948806,0.151168084
354,0.706179706,0.142719203,0.144418113
355,0.721599497,0.143892937,0.139655282
356,0.737641354,0.145183894,0.132643632
357,0.752379413,0.14613849,0.12593002
358,0.766528469,0.146909779,0.121473114
359,0.779763022,0.147486818,0.117245622
360,0.794119244,0.148198646,0.110809121
361,0.811700832,0.149450801,0.104626049
362,0.826421168,0.150226084,0.101328529
363,0.83968219,0.150734468,0.097620949
364,0.853260717,0.151145018,0.092644185
365,0.867063486,0.151567094,0.08820534
366,0.880211762,0.152062557,0.085573541
367,0.89297415,0.15226754,0.081594424
368,0.905687129,0.152463611,0.077778469
369,0.918322015,0.152923145,0.075566088
370,0.929854754,0.153244694,0.073491559
371,0.94081577,0.153194495,0.070679661
372,0.950669485,0.152990021,0.068099169
373,0.957836985,0.152756508,0.066586515
374,0.964606797,0.152541105,0.065115038
375,0.971275248,0.15198625,0.063267805
376,0.977341239,0.151400147,0.061720248
377,0.982916494,0.151246582,0.061148637
378,0.988076838,0.150670153,0.060171155
379,0.993138416,0.150163159,0.059694054
380,0.995686097,0.149858543,0.059704928
381,0.997395751,0.149567169,0.059812084
382,0.998919286,0.148842583,0.060515009
383,1,0.148170218,0.061691064
384,0.999606752,0.147963792,0.062851438
385,0.994703627,0.147227997,0.06388453
386,0.990227995,0.146161082,0.065795915
387,0.985944785,0.145275459,0.067922112
388,0.97914247,0.144754763,0.069418837
389,0.973471028,0.14398972,0.072015083
390,0.965996849,0.143134566,0.074755896
391,0.955114237,0.142546094,0.076608694
392,0.944575388,0.14219719,0.07895946
393,0.93140128,0.141062767,0.082584847
394,0.918404817,0.140157691,0.086614002
395,0.90342592,0.139730769,0.089813013
396,0.886513484,0.139203866,0.092863213
397,0.86998384,0.138390488,0.097512552
398,0.851841892,0.137557642,0.102413369
399,0.831120933,0.137031836,0.105565988
400,0.810321497,0.136215504,0.110270759
401,0.788772552,0.135488373,0.115271763
402,0.7651311,0.135098986,0.118224813
403,0.741443755,0.134890696,0.121363478
404,0.717581779,0.13442732,0.125987917
405,0.690664556,0.133603137,0.130020498
406,0.662887626,0.1331719,0.132648535
407,0.63535219,0.132598955,0.136213417
408,0.607407195,0.132112727,0.139231003
409,0.580056689,0.132194796,0.141103959
410,0.552699033,0.132380935,0.142777541
411,0.524152202,0.132164081,0.144067956
412,0.49664151,0.132311428,0.145488811
413,0.4683072,0.132439688,0.146300804
414,0.439944235,0.132512226,0.14692933
415,0.413389747,0.133034641,0.147180799
416,0.386857242,0.133539929,0.146403131
417,0.360896266,0.134110101,0.145787027
418,0.335735592,0.134892847,0.144724113
419,0.311990695,0.136076112,0.144302222
420,0.288841476,0.137095893,0.143971068
421,0.266228922,0.137977799,0.143274221
422,0.245293866,0.139619793,0.141986556
423,0.225293577,0.141373491,0.140466106
424,0.206240712,0.142786817,0.139412038
425,0.188766513,0.145160848,0.137758545
426,0.172283504,0.147684891,0.135950719
427,0.156483408,0.149420362,0.134356123
428,0.141746901,0.151183349,0.132928865
429,0.128303012,0.154039241,0.130887875
430,0.115865237,0.157062304,0.12864942
431,0.1043559,0.159289578,0.127281991
432,0.093870525,0.16270344,0.124839645
433,0.084390338,0.166522801,0.122190422
434,0.07564887,0.169230583,0.120569698
435,0.067728685,0.172076656,0.118704461
436,0.060645134,0.176578954,0.115503721
437,0.054229796,0.18129804,0.112291832
438,0.048387106,0.18465054,0.110168483
439,0.043153088,0.18973949,0.106977044
440,0.038395998,0.194758312,0.103865038
441,0.034155972,0.198509963,0.101847157
442,0.030376648,0.202469209,0.099849633
443,0.027016533,0.208511205,0.09703812
444,0.024041321,0.215052058,0.094349243
445,0.021333115,0.219358856,0.092347724
446,0.018929415,0.225920517,0.088862961
447,0.016822586,0.233160913,0.085437959
448,0.014939956,0.238366055,0.083151789
